Date,Price,Open,High,Low,Chg%
2011-07-11,1548.8,1550,1555.2,1543.1,0.0049
2011-07-12,1561.9,1548.2,1565,1542,0.0085
2011-07-13,1585.2,1574,1585.6,1570.8,0.0149
2011-07-14,1589,1586.3,1592.8,1583.6,0.0024
2011-07-15,1589.8,1582.3,1592.2,1582.3,0.0005
2011-07-18,1602.1,1592.8,1605,1592.8,0.0077
2011-07-19,1600.9,1608.1,1608.8,1583.3,-0.0007
2011-07-20,1596.7,1584.3,1596.5,1582.4,-0.0026
2011-07-21,1586.8,1598,1601.6,1586.6,-0.0062
2011-07-22,1601.3,1588.5,1606.5,1588.5,0.0091
2011-07-25,1612,1610,1619.4,1610,0.0067
2011-07-26,1616.6,1609.8,1618.5,1609.8,0.0029
2011-07-27,1615,1619.7,1622.5,1617,-0.001
2011-07-28,1613.4,1614.2,1620.6,1602.8,-0.001
2011-07-29,1628.3,1617.1,1634.9,1610.6,0.0092
2011-08-01,1619,1623,1631.8,1607,-0.0057
2011-08-02,1641.9,1619.3,1660.6,1616.8,0.0141
2011-08-03,1663.4,1659.9,1672.3,1651.6,0.0131
2011-08-04,1656.2,1660.5,1681.8,1640,-0.0043
2011-08-05,1648.8,1647.5,1666.1,1642.6,-0.0045
2011-08-08,1710.2,1679.1,1720,1678.1,0.0372
2011-08-09,1740,1722.5,1779,1720.1,0.0174
2011-08-10,1781.3,1744,1795.6,1741.3,0.0237
2011-08-11,1748.8,1795.1,1813.5,1733,-0.0182
2011-08-12,1740.2,1760.6,1764.2,1723.8,-0.0049
2011-08-15,1755.5,1734.9,1765.2,1730.5,0.0088
2011-08-16,1782.4,1769,1787.3,1761.6,0.0153
2011-08-17,1791.2,1784.8,1794.3,1782,0.0049
2011-08-18,1818.9,1786.5,1828.5,1785.5,0.0155
2011-08-19,1848.9,1823.7,1874.4,1823.7,0.0165
2011-08-22,1888.7,1868.6,1895,1858.4,0.0215
2011-08-23,1858.3,1909,1909.3,1824.6,-0.0161
2011-08-24,1754.1,1833,1853.1,1753.1,-0.0561
